"Pedon_ID","UTM_ID","H_number","Horizon","topDepth_cm","bottomDepth_cm","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma","texture","text_modifier","clay","sand","RF","Gravel","Cobbles","Stones","structure","dry_cons","moist_cons","stickiness","plasticity","roots","pores","pH","EC","Eff.","Boundary","CaCO3_meas","Gyp_meas","CaCO3_vis","Gyp_vis","concent_kind_.","pv_kind","pv_.","pv_distinct","pv_location","notes"
NA,"0372305_3707409",1,"A",0,25,NA,NA,NA,"5YR",4,4,"L",NA,20,NA,5,NA,NA,NA,"1 F PL",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0372305_3707409",2,"B",25,51,NA,NA,NA,"5YR",4,4,"SCL",NA,25,NA,NA,NA,NA,NA,"2 M SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"restricted at 20"""
NA,"0372312_3664733",1,"AB",0,15,NA,NA,NA,"7.5YR",4,6,"SL",NA,8,NA,0,NA,NA,NA,"PL",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"% rock frags = gyp sugar and gyp powder"
NA,"0372312_3664733",2,"B",15,122,NA,NA,NA,NA,NA,NA,"SL",NA,15,NA,5,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA
NA,"0372312_3664733",3,"By",122,152,NA,NA,NA,"7.5YR",4,6,"SCL",NA,30,NA,20,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA
NA,"0372319_3598411",1,"AB",0,12,NA,NA,NA,"7.5YR",4,4,"SL",NA,12,NA,0,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0372319_3598411",2,"By",12,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25% nodules present in By"
NA,"0372319_3598411",3,"Cym",20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"At 20 Petrogysic Petrocalcic"
NA,"0372348_3664632",1,"AB",0,15,NA,NA,NA,NA,NA,NA,"SL",NA,10,NA,0,NA,NA,NA,"PL",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,0,0,NA,NA,NA,NA,NA,"gypsum barely seen with naked eye very sparse ; argillic present"
NA,"0372348_3664632",2,"By",15,127,NA,NA,NA,NA,NA,NA,"SCL",NA,30,NA,4,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA
NA,"0372353_3596824",1,"AB",0,15,NA,NA,NA,"7.5YR",4,4,"L",NA,15,NA,0,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0372353_3596824",2,"Bky",15,41,NA,NA,NA,"7.5YR",5,4,"SL",NA,10,NA,25,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,25,45,NA,NA,NA,NA,NA,"At 6'' gyp tuff ; At 16'' petrogypsic / petrocalcic horizon."
NA,"0372353_3596824",3,"Bkm",41,41,NA,NA,NA,NA,NA,NA,NA,"PETROGYPSIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0372377_3733782",1,"A",0,23,"7.5YR",3,3,"7.5YR",3,2,"SL","GR",13,NA,18,NA,NA,NA,"1 M SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0372377_3733782",2,"Bk1",23,70,"7.5YR",3,2,"7.5YR",3,2,"L","GR",15,NA,16,NA,NA,NA,"1 M SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
NA,"0372377_3733782",3,"Bk2",70,150,"7.5YR",7,3,"7.5YR",6,3,"L","GR",17,NA,19,NA,NA,NA,"1 M SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
"2","0372407_3641932",1,"A",0,5,NA,NA,NA,"5Y",8,1,"LS","GYP",2,NA,0,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"NE",NA,NA,NA,0,100,NA,NA,NA,NA,NA,NA
"2","0372407_3641932",2,"Cy1",5,74,NA,NA,NA,"5Y",8,1,"LS","GYP",5,NA,0,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"NE",NA,NA,NA,0,100,NA,NA,NA,NA,NA,NA
"2","0372407_3641932",3,"Cy2",74,86,NA,NA,NA,"5Y",7,2,"LS","GYP",5,NA,0,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"NE",NA,NA,NA,0,100,NA,NA,NA,NA,NA,NA
"2","0372407_3641932",4,"2Byzm",86,107,NA,NA,NA,NA,NA,NA,"L","GYP",5,NA,0,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"NE",NA,NA,NA,0,100,NA,NA,NA,NA,NA,NA
NA,"0372413_3709025",1,"A",0,3,NA,NA,NA,"2.5YR",3,4,"SICL","GRX",35,NA,65,50,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0372413_3709025",2,"Bw",3,10,NA,NA,NA,"2.5YR",3,4,"SICL",NA,38,NA,27,2,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0372413_3709025",3,"Cr",10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0372435_3733901",1,"A",0,26,"7.5YR",3,3,NA,NA,NA,"L","GR",15,NA,23,NA,NA,NA,"1 M SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0372435_3733901",2,"Bk1",26,80,"7.5YR",3,3,"7.5YR",3,2,"L","GR",13,NA,25,NA,NA,NA,"1 M SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
NA,"0372435_3733901",3,"Bk2",80,150,"7.5YR",7,3,"7.5YR",6,3,"L","GR",14,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA
NA,"0372454_3664568",1,"ABy",0,8,NA,NA,NA,"7.5YR",4,6,"SICL",NA,35,NA,10,NA,NA,NA,"PL",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA
NA,"0372454_3664568",2,"By1",10,86,NA,NA,NA,NA,NA,NA,"CL",NA,32,NA,30,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA
NA,"0372454_3664568",3,"By2",89,112,NA,NA,NA,"7.5YR",4,6,"SCL",NA,25,NA,20,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA
NA,"0372465_3664855",1,"AB",0,30,NA,NA,NA,"5YR",4,6,"LS",NA,3,NA,0,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"petrogyp 0.25 of soil ; % rock frag in B horizon = gyp sugar present in soil matrix"
NA,"0372465_3664855",2,"By1",30,91,NA,NA,NA,"5YR",4,6,"SL",NA,10,NA,5,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA
NA,"0372465_3664855",3,"By2",91,152,NA,NA,NA,NA,NA,NA,"SL",NA,18,NA,15,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,3,25,NA,NA,NA,NA,NA,NA
NA,"0372467_3707565",1,"A",0,15,NA,NA,NA,"5YR",4,3,"SL",NA,8,NA,10,NA,NA,NA,"1 F SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fine gravel"
