"utm_E","utm_N","utm_ID"
388512,3721770,"0388512_3721770"
388543,3721780,"0388543_3721780"
388562,3721805,"0388562_3721805"
389168,3720646,"0389168_3720646"
389172,3720650,"0389172_3720650"
389205,3720658,"0389205_3720658"
407707,3743454,"0407707_3743454"
407838,3743406,"0407838_3743406"
407967,3743359,"0407967_3743359"
408097,3743311,"0408097_3743311"
357459,3648235,"0357459_3648235"
357528,3648303,"0357528_3648303"
357697,3648443,"0357697_3648443"
315808,3705616,"0315808_3705616"
363594,3668134,"0363594_3668134"
346969,3689237,"0346969_3689237"
350556,3729286,"0350556_3729286"
341927,3692454,"0341927_3692454"
341735,3693454,"0341735_3693454"
354852,3698097,"0354852_3698097"
357664,3732973,"0357664_3732973"
348010,3708631,"0348010_3708631"
348749,3708940,"0348749_3708940"
355172,3707481,"0355172_3707481"
342792,3720706,"0342792_3720706"
357840,3650492,"0357840_3650492"
367000,3579784,"0367000_3579784"
367042,3579927,"0367042_3579927"
367119,3580213,"0367119_3580213"
367149,3580362,"0367149_3580362"
367197,3580648,"0367197_3580648"
367245,3580785,"0367245_3580785"
367399,3581017,"0367399_3581017"
324814,3717683,"0324814_3717683"
352241,3712896,"0352241_3712896"
356641,3711978,"0356641_3711978"
356703,3712144,"0356703_3712144"
356750,3712312,"0356750_3712312"
356797,3712446,"0356797_3712446"
356858,3712591,"0356858_3712591"
356900,3712761,"0356900_3712761"
356943,3712896,"0356943_3712896"
357002,3713051,"0357002_3713051"
357040,3712395,"0357040_3712395"
357059,3713233,"0357059_3713233"
357199,3712461,"0357199_3712461"
357340,3712519,"0357340_3712519"
357493,3712579,"0357493_3712579"
357788,3712707,"0357788_3712707"
357933,3712767,"0357933_3712767"
358088,3712827,"0358088_3712827"
367078,3570078,"0367078_3570078"
368787,3598545,"0368787_3598545"
368672,3599101,"0368672_3599101"
368701,3598930,"0368701_3598930"
368716,3599246,"0368716_3599246"
368721,3598801,"0368721_3598801"
368851,3598300,"0368851_3598300"
369561,3600947,"0369561_3600947"
369866,3600412,"0369866_3600412"
369932,3600192,"0369932_3600192"
369988,3601081,"0369988_3601081"
378218,3690499,"0378218_3690499"
378631,3690025,"0378631_3690025"
378947,3689845,"0378947_3689845"
379375,3689815,"0379375_3689815"
379807,3690085,"0379807_3690085"
380313,3690270,"0380313_3690270"
380839,3690561,"0380839_3690561"
381368,3690822,"0381368_3690822"
381900,3691147,"0381900_3691147"
382514,3691556,"0382514_3691556"
369590,3677204,"0369590_3677204"
368761,3599400,"0368761_3599400"
369596,3601332,"0369596_3601332"
364181,3676800,"0364181_3676800"
367680,3677694,"0367680_3677694"
367988,3677793,"0367988_3677793"
369180,3677081,"0369180_3677081"
369388,3677143,"0369388_3677143"
369811,3677390,"0369811_3677390"
370055,3677684,"0370055_3677684"
370075,3677559,"0370075_3677559"
364383,3675245,"0364383_3675245"
393819,3729318,"0393819_3729318"
395362,3729472,"0395362_3729472"
395481,3729955,"0395481_3729955"
376766,3736253,"0376766_3736253"
376832,3735685,"0376832_3735685"
345029,3681827,"0345029_3681827"
359718,3658371,"0359718_3658371"
359748,3658425,"0359748_3658425"
359833,3658536,"0359833_3658536"
359918,3658707,"0359918_3658707"
359934,3658772,"0359934_3658772"
359967,3658856,"0359967_3658856"
360001,3658942,"0360001_3658942"
360011,3659057,"0360011_3659057"
360017,3658984,"0360017_3658984"
360035,3659135,"0360035_3659135"
370020,3587598,"0370020_3587598"
370093,3587552,"0370093_3587552"
392922,3588110,"0392922_3588110"
367899,3601964,"0367899_3601964"
367792,3602200,"0367792_3602200"
368050,3600900,"0368050_3600900"
363412,3673817,"0363412_3673817"
363626,3674020,"0363626_3674020"
363920,3674337,"0363920_3674337"
392444,3728263,"0392444_3728263"
373476,3593916,"0373476_3593916"
380543,3606432,"0380543_3606432"
373675,3593826,"0373675_3593826"
374203,3593641,"0374203_3593641"
374310,3593630,"0374310_3593630"
378906,3599918,"0378906_3599918"
373566,3593907,"0373566_3593907"
404585,3619633,"0404585_3619633"
392183,3627501,"0392183_3627501"
392036,3627551,"0392036_3627551"
364922,3629610,"0364922_3629610"
339271,3680643,"0339271_3680643"
339279,3680695,"0339279_3680695"
339284,3680749,"0339284_3680749"
339294,3680803,"0339294_3680803"
339307,3680850,"0339307_3680850"
339314,3680896,"0339314_3680896"
339320,3680949,"0339320_3680949"
339333,3680990,"0339333_3680990"
376344,3697760,"0376344_3697760"
399413,3644065,"0399413_3644065"
400669,3644710,"0400669_3644710"
361706,3731119,"0361706_3731119"
357678,3652123,"0357678_3652123"
357682,3651279,"0357682_3651279"
358792,3615441,"0358792_3615441"
370927,3594176,"0370927_3594176"
371647,3704198,"0371647_3704198"
372019,3704525,"0372019_3704525"
